"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C4,C28,C32,C11,C22,C25,C21,C2,C10,C18,C33,C14,C1,C29";"C_1206_3216Metric";14;"10uf";;;
2;"U25,U2,U23";"AOZ1360AIL_AOS";3;"AOZ1360AIL";;;
3;"L2,L1";"L_Taiyo-Yuden_MD-5050";2;"10uH";;;
4;"R6,R3,R9";"R_0603_1608Metric";3;"30.1k";;;
5;"CN1,CN2";"PinHeader_2x40_P1.27mm_Vertical_SMD_FLIPPED";2;"Conn_02x40_Odd_Even";;;
6;"C12,C3,C16,C5,C19,C8,C13,C27,C7,C30,C26,C35,C17,C34,C24,C23,C15";"C_0603_1608Metric";17;".1uf";;;
7;"U24,U1,U26";"TSOT-23-6";3;"AP63201WU";;;
8;"C9,C20,C31";"C_0603_1608Metric";3;"100pf";;;
9;"R2";"R_0603_1608Metric";1;"158k";;;
10;"R1,R4,R15,R7";"R_0603_1608Metric";4;"100k";;;
11;"R8";"R_0603_1608Metric";1;"93.1k";;;
12;"D1";"TO-252-3_TabPin2";1;"D";;;
13;"F1";"Fuse_1206_3216Metric";1;"10A";;;
14;"C6";"C_0603_1608Metric";1;"10uf";;;
15;"L3";"L_Taiyo-Yuden_MD-5050";1;"6.8uH";;;
16;"R5";"R_0603_1608Metric";1;"158K";;;
17;"U15,U32,U5,U9,U11,U7,U31,U14,U13,U21,U20,U22,U16,U12,U17,U30,U6,U8,U3,U18,U4,U33,U10,U19";"SOT-363_DIO";24;"D1213A-04S-7";;;
18;"J1,J4,J3,J2";"PCI_64_SMD_CONNECTOR";4;"10061913-111PLF";;;
19;"J5";"1x02_P5.00mm_Horizontal_terminal_block";1;"Conn_01x02_Pin";;;
